
Host: rh05314.villa-bosch.de

Timers On : Wed Feb  5 11:58:12 2020
Timers Off: Wed Feb  5 11:58:14 2020

Wall Time:        1.45 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.050u      0.000s      0.030w      1 calls
JK: (A|mn)                          :      0.000u      0.000s      0.004w      1 calls
JK: (A|Q)^-1/2                      :      0.033u      0.000s      0.021w      1 calls
JK: (Q|mn)                          :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.000w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.200u      0.000s      0.120w      1 calls
SAD Guess                           :      0.183u      0.000s      0.112w      1 calls
HF: Form G                          :      1.083u      0.017s      0.664w      8 calls
UV: Form V                          :      1.083u      0.017s      0.663w      8 calls
Properties                          :      0.233u      0.017s      0.154w   5736 calls
Functional                          :      0.467u      0.000s      0.330w   5736 calls
V_xc                                :      0.367u      0.000s      0.167w   5736 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.000u      0.000s      0.001w      8 calls
JK: J                               :      0.000u      0.000s      0.000w      8 calls
JK: J1                              :      0.000u      0.000s      0.000w     16 calls
JK: J2                              :      0.000u      0.000s      0.000w     16 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.000u      0.000s      0.003w      7 calls
DIISManager::add_entry              :      0.000u      0.000s      0.000w      7 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.000w      7 calls
bMatrix setup                       :      0.000u      0.000s      0.000w      7 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.000w      7 calls
New vector                          :      0.000u      0.000s      0.000w      7 calls
HF: Form C                          :      0.000u      0.000s      0.001w      7 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.050u      0.000s      0.030w      1 calls
JK: (A|mn)                          :      0.000u      0.000s      0.004w      1 calls
JK: (A|Q)^-1/2                      :      0.033u      0.000s      0.021w      1 calls
JK: (Q|mn)                          :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.000w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.200u      0.000s      0.120w      1 calls
| SAD Guess                         :      0.183u      0.000s      0.112w      1 calls
HF: Form G                          :      1.083u      0.017s      0.664w      8 calls
